isShowcaseListing,longitude,timeOnZillow,zestimate,daysOnZillow,zpid,taxAssessedValue,isUnmappable,priceForHDP,dateSold,state,isFeatured,isPremierBuilder,isPreforeclosureAuction,lotAreaValue,isNonOwnerOccupied,homeStatus,latitude,lotAreaUnit,bedrooms,zipcode,homeStatusForHDP,isZillowOwned,shouldHighlight,homeType,bathrooms,rentZestimate,price,city,streetAddress,country,currency,listing_sub_type,livingArea
False,-79.72628,,,-1,2071493200,,False,509900,1627023600000,ON,False,False,False,,True,RECENTLY_SOLD,43.372257,,1.0,L7L6P6,FOR_SALE,False,False,CONDO,1.0,,0,Burlington,100 Burloak Dr #1318,CAN,CAD,{'is_FSBA': True},795.0
False,-79.386154,86232504000.0,,998,2068586812,,False,1879000,1625727600000,ON,False,False,False,,True,RECENTLY_SOLD,43.64905,,2.0,M5H0A2,FOR_SALE,False,False,CONDO,3.0,,1815000,Toronto,180 University Ave #2707,CAN,CAD,{'is_FSBA': True},
False,-79.71998,,,-1,2071914493,,False,0,1625727600000,ON,False,False,False,,True,RECENTLY_SOLD,43.480335,,1.0,L6H0E4,RECENTLY_SOLD,False,False,CONDO,1.0,,0,Oakville,2391 Central Park Dr #306,CAN,CAD,{},510.0
False,-79.69191,86405304000.0,,1000,2070483804,,False,0,1625554800000,ON,False,False,False,,True,RECENTLY_SOLD,44.38036,,1.0,L4N3A5,RECENTLY_SOLD,False,False,CONDO,1.0,,0,Barrie,65 Ellen St #509,CAN,CAD,{},665.0
False,-79.866875,,,-1,2071129093,,False,0,1624863600000,ON,False,False,False,,True,RECENTLY_SOLD,43.248333,,1.0,L8N3X3,RECENTLY_SOLD,False,False,CONDO,1.0,,0,Hamilton,150 Charlton Ave E #2605,CAN,CAD,{},482.0
False,-79.782425,,,-1,2072450970,,False,0,1622703600000,ON,False,False,False,,True,RECENTLY_SOLD,43.40242,,1.0,L7L0G8,RECENTLY_SOLD,False,False,CONDO,1.0,,0,Burlington,5317 Upper Middle Rd #419,CAN,CAD,{},709.0
False,-79.784454,8126908000.0,400300.0,94,54771504,371838.0,False,382000,1703836800000,CA,False,False,False,436.0,True,RECENTLY_SOLD,43.239178,sqft,1.0,95112,RECENTLY_SOLD,False,False,CONDO,1.0,1900.0,382000,San Jose,516 Martha St UNIT 101,USA,USD,{},368.0
False,-79.37558,50117308000.0,,580,2062922615,,False,1600,1661842800000,ON,False,False,False,,True,RECENTLY_SOLD,43.667984,,1.0,M4X1L1,FOR_RENT,False,False,CONDO,1.0,,820000,Toronto,500 Sherbourne St UNIT 2103,CAN,CAD,{},
False,-78.37663,53659708000.0,,621,2064316568,,False,2200,1658300400000,ON,False,False,False,,True,RECENTLY_SOLD,44.27566,,2.0,K9K1X8,FOR_RENT,False,False,CONDO,2.0,,0,Peterborough,1429 Clearview Dr #204,CAN,CAD,{},
False,-80.077896,60485308000.0,529100.0,700,67988060,428800.0,False,499000,1651474800000,WI,False,False,False,,True,RECENTLY_SOLD,44.447693,,2.0,54115,RECENTLY_SOLD,False,False,CONDO,2.0,2840.0,499000,De Pere,555 Main Ave APT 206,USA,USD,{},2637.0
False,-77.38327,60744508000.0,,703,2064697160,,False,449900,1651215600000,ON,False,False,False,,True,RECENTLY_SOLD,44.16361,,2.0,K8N5H5,FOR_SALE,False,False,CONDO,2.0,,0,Belleville,199 Front St #410,CAN,CAD,{'is_FSBA': True},
False,-79.84135,2510442000.0,,29,2063764643,,False,680000,1709452800000,ON,False,False,False,,True,RECENTLY_SOLD,43.209576,,,L8T4W9,RECENTLY_SOLD,False,False,SINGLE_FAMILY,,,680000,Hamilton,63 Bacall Cres,CAN,CAD,{},
False,-79.590294,16852842000.0,463100.0,195,39557384,241600.0,False,436000,1695106800000,NJ,False,False,False,5662.8,True,RECENTLY_SOLD,43.85327,sqft,2.0,08724,RECENTLY_SOLD,False,False,SINGLE_FAMILY,2.0,2455.0,436000,Brick,17 Brant Drive,USA,USD,{},1588.0
False,-79.75443,33096042000.0,,383,2062007956,,False,990000,1678863600000,ON,False,False,False,,True,RECENTLY_SOLD,43.75386,,3.0,L6R2Z6,RECENTLY_SOLD,False,False,SINGLE_FAMILY,3.0,,990000,Brampton,14 Rockrose Dr,CAN,CAD,{},
False,-79.35719,34910443000.0,,404,2058424218,,False,4388,1677052800000,ON,False,False,False,,True,RECENTLY_SOLD,43.777637,,4.0,M2J2G1,FOR_RENT,False,False,SINGLE_FAMILY,3.0,,1520000,Toronto,35 Shippigan Cres,CAN,CAD,{},
False,-77.41796,40440044000.0,,468,2060594506,,False,0,1671523200000,ON,False,False,False,,True,RECENTLY_SOLD,44.162952,,,K8N4Z2,RECENTLY_SOLD,False,False,SINGLE_FAMILY,,,0,Belleville,67 Marshall Rd,CAN,CAD,{},
False,-77.616646,42168045000.0,,488,2064705441,,False,1649900,1669795200000,ON,False,False,False,32.0,True,RECENTLY_SOLD,44.335037,acres,8.0,K0K3E0,FOR_SALE,False,False,SINGLE_FAMILY,4.0,,0,Stirling Rawdon,596 Kings Mill Rd,CAN,CAD,{'is_FSBA': True},4092.0
False,-77.440605,45278449000.0,,524,2064696691,,False,0,1666681200000,ON,False,False,False,3.7699954086318,True,RECENTLY_SOLD,44.308846,acres,4.0,K0K3E0,RECENTLY_SOLD,False,False,SINGLE_FAMILY,2.0,,0,Belleville,554 Townsend Rd,CAN,CAD,{},1110.0
False,-77.68546,45624049000.0,,528,2061407927,,False,0,1666335600000,ON,False,False,False,,True,RECENTLY_SOLD,44.27399,,,K0L1L0,RECENTLY_SOLD,False,False,SINGLE_FAMILY,,,0,Trent Hills,115 River Rd,CAN,CAD,{},
